v1,v2,kshkod,telnevclear,user_citycode,rrrdi_plain,rrrdi_convex,residential_area_plain,rail_length,has_rail,roma,hungarian,german,ethnic_fractionalization,religious_fractionalization,roman_catholic,evangelical,reformed,atheists,agnostic,no_response,turnout_14,n_precincts_14,fidesz_cv_14,fidesz_share_14,jobbik_share_14,turnout_18,n_precincts_18,fidesz_cv_18,fidesz_share_18,jobbik_share_18,gini_2016,gini_2011,gini_2006,population,income_pc_2006,income_pc_2011,income_pc_2016,fragmentation,density,transitivity,avgpl,ad_ast,gend_ast,logpop,logincome,logincome1,logincome2,gini_1,gini_2,loggini_1,loggini_2,transitivity2,fragmentation2,avgpl2,gini_2011d,ginif,ginia,ginit,income_1,income_2,logincome_1,logincome_2,lograil,ethnich_r,rightwing,avgpl_w,fragmentation_w,transitivity_w,fragmentation_w2,avgpl_w2,transitivity_w2,count,max_math,min_math,max_lit,min_lit,avgmath,varmath,cvmath,logmath,bpties,bpties2,bpties_w,bpties_w2,z_rightwing,z_rrrdi_convex,z_residential_area_plain,z_has_rail,z_lograil,z_religious_fractionalization,z_roman_catholic,z_evangelical,z_reformed,z_ethnic_fractionalization,z_ethnich_r,z_cvmath,z_avgmath,v98,telnev,user,connection,pop,size_km2,connectins,avrgconins,math_cv_2006,math_cv_2011,math_cv_2017,cr,cr2,lr,lr2,transitivity_cr,transitivity_cr2,avgpl_lr,avgpl_lr2,popdensity,popdensity_residental,c_l,trans_lat_scaled,sw,jaras_cv,user_rate,objectid,shape_length,shape_area,centerx,centery,stddist,clc_polycount,rel_stdev,fragm_relstdev_x_clc,stdist_new,clc_polycount_new,rel_stdev_new,fragm_relstdev_x_clc_new,clc_pc,rrrdi_pc,geo_pc,town_poi,h,v143,h_private,h_public,z_rrrdi_plain,z_rail_length,z_fragm_relstdev_x_clc_new,z_stdist_new,pc1,z_fragmentation,z_pc1,z_gini_2011,z_gini_2016,z_sw
258,1,1737,Aba,31353,.16768,.1414904,9928024,25718.369,1,.0025452001,.9900738,.0030542,.019729,.73712897,.36271709,.0015388,.2051,.0103319,.15651789,.25412181,.4901906,5,.077684797,.53116071,.25786161,.6035862,5,.0504715,.5746544,.25069121,.43481961,.42481351,.42119101,4659,535299.5,663117.63,1027564,.24204651,.070088699,.36655959,2.225385,.0057534999,0.0310508,8.4465561,13.8427,13.40471,13.19058,1.0086,1.023554,.0085637001,.023281099,.1343659,.058586501,4.9523401,0,0,0,0,1.2387789,1.549596,.2141259,.43799439,10.155,.0099261999,.78902233,.2634666,.0286562,.043397501,.00082120002,.069414601,.0018833,3,1594.375,1399.749,1382.047,1376.63,1497.062,9469.8164,6.3256011,7.3112602,1.214693,1.475479,.1438093,.0206811,1.070138,-1.068387,-.26358211,.54364669,.6443243,.78437829,-.132825,-.3933759,.54061371,-1.17319,-1.027195,.48508009,.45509171,294,Aba,2573,427641,4619,8805,108436,42.139999,NA,NA,NA,.0327585,.0010731,1.770954,3.1362801,11.18976,125.2106,1.256602,1.579049,.52458829,.00046519999,.74254,.4936564,.39285019,.0767667,.55704701,1375,14939.61,17800000,4967859,2695533,2973.5181,2,1.19442,2.3888409,2377.7429,2,1.19442,2.3888409,1.5986,.26531151,-.54197031,5.0100002,1.925965,1.38929,1.1637,.77466208,-1.0968482,.090281047,.25961176,1.4444582,.52952439,-.91184157,.32746392,-1.3733518,-1.4328105,1.584604751489851
184,2,1244,Abadszalok,16547,.3064003,.4279764,11200000,10400.08,1,.045274001,.94095838,.0127085,.1123849,.75446218,.27925339,.00095720001,.26106721,.0059822998,.22876289,.21679831,.46467859,5,.094575599,.52398747,.27165109,.58050722,5,.0853111,.542382,.2494635,.46825331,.48891899,.44935751,4508,358070.5,464494.81,767662,.25442311,.092065498,.39547241,2.128824,.0045709,0.0250968,8.4136086,13.55111,13.04871,12.78849,1.08804,.95773178,.084377997,-.043187499,.1563984,.064731099,4.5318918,1,0,2,0,1.2972161,1.652683,.26022041,.5023998,9.2496653,.059041601,.79563862,.25302151,.0302395,.047003899,.00091439998,.064019904,.0022094001,1,1370.868,1370.868,1371.153,1371.153,1370.868,8.1599998e-11,5.8999999e-14,7.2231989,.69934982,.4890902,.0831213,.0069090999,1.157522,-.0215126,-.17831659,.54364669,.42705879,.97969741,-.58327448,-.40620521,.96217912,-.1632445,-.2046959,-.37547061,-.9644013,352,AbÃÂ¡dszalÃÂ³k,1282,244470,3922,13223,104233,81.300003,NA,NA,NA,.1268409,.016088599,1.405555,1.975584,3.1178629,9.7210674,1.5145791,2.293951,.29660439,.0003517,.74614441,.53002131,.34994629,.12928259,.32687399,935,5528.4702,2432142,5117189,2763909,2507.9419,2,.81310081,1.626202,879.89447,1,0,0,-1.019264,.34051251,-.69762468,12.01,1.955707,1.215149,1.207792,.87446398,-.58364385,-.34219885,-.44297108,-.48537496,-.90899688,-.69716716,-.56213409,.39932051,-.46162701,1.097267604040467
27,4,359,Abaujszanto,36761,.63353652,.63353652,5508700,8560.8564,1,.061395299,.92372102,.0046512,.14286619,.65226507,.51890689,.0050841998,.2456308,.0031776,.033682901,.1048618,.51614219,3,.1030429,.40221691,.37925571,.60993212,3,.0532244,.46987951,.31183559,.4656609,.44021401,.38438109,3185,421902.09,549357.88,750361,.2409502,.1144144,.40875769,2.0972581,.0018952,0.0282798,8.0662079,13.52831,13.21651,12.95253,1.145254,1.057806,.13562649,.0561965,.16708291,.058056999,4.39849,0,0,0,0,1.302098,1.365888,.2639769,.31180471,9.0550728,.076278999,.78147268,.26000541,.0298716,.050675299,.00089229998,.067602798,.002568,2,1363.106,1363.106,1359.575,1359.575,1363.106,1.2900000e-09,9.4500005e-13,7.2175212,.48678511,.2369598,.060348701,.003642,.9704271,.72964323,-.57183552,.54364669,.3803598,-.1719097,.71012402,-.3151733,.84590602,.1690014,.083967797,-.37547061,-1.051712,453,AbaÃÂºjszÃÂ¡ntÃÂ³,989,182703,3088,4736,82992,83.919998,NA,NA,NA,.16969679,.028797001,1.346234,1.8123471,2.4087529,5.802093,1.55787,2.4269581,.65202701,.00056060002,.74626511,.54773802,.35159409,.1328667,.320272,138,4190.25,1397202,5147900,2859188,770.61462,1,0,0,666.90747,1,0,0,-1.156355,.8247059,.1598724,9.0100002,.98955572,.9007324,0,.9007324,.62661666,-.39412549,-.44297108,-.75978816,-.59775019,-.93085718,-.36965555,-.94749057,-.53693157,1.115984649571792
176,5,1188,Abda,26551,.61575007,.5996272,4848641,10753.2,1,.0014225,.97617352,.018847801,.046723701,.59746808,.57914031,.040319901,.026991,.0133289,.095968001,.2352549,.63090128,4,.072834998,.47124311,.1842919,.74026477,4,.083681099,.48860621,.1992581,.50676119,.47454321,.47752491,3181,804149.5,967245.38,1361234,.31005931,.063725799,.34359989,2.32321,.013022,0.042642,8.0649509,14.1239,13.78221,13.59754,.993756,1.067893,-.0062636002,.065687098,.1180609,.096136801,5.3973069,1,0,2,0,1.202818,1.407331,.1846671,.34169489,9.2830505,.0238265,.65553498,.2880626,.038445301,.0426041,.001478,.082979999,.0018151,1,1528.433,1528.433,1492.402,1492.402,1528.433,2.2700000e-09,1.4800000e-12,7.3319979,.4996281,.24962831,.061950501,.0038379,-.69287819,.60573232,-.61787528,.54364669,.4350709,-.78938901,1.035201,.46203539,-.80096823,-.87894958,-.7944175,-.37547061,.80797011,432,Abda,1110,256534,3201,1902,61160,55.099998,NA,NA,NA,.099277698,.0098561002,1.4912159,2.2237251,3.460999,11.97851,1.55793,2.4271469,1.682965,.00066020002,.74430257,.46164,.2963163,.067594297,.34676659,886,3950.8821,1242131,4886471,2760387,768.42322,1,0,0,628.81042,1,0,0,-1.180876,.83275902,.1132501,15.01,1.0548,.96012068,1.231692,.0279621,.56081462,-.33222923,-.44297108,-.80887252,-.6196354,.26785234,-.38318959,.00179538,.65695125,.4880948156533509
430,6,2787,Abony,8742,.4994441,.4994441,18800000,40556.43,1,.035342399,.95637298,.0032682,.084081396,.65368372,.48732731,.001341,.060547099,.0057664001,.1414108,.2916052,.54470718,16,.0901246,.46771431,.2957834,.63053578,16,.078942299,.56657302,.2171348,.45910719,.45766619,.42225939,15371,473716.19,529985.19,843053,.29245651,.0272281,.2144141,2.421263,.0153327,0.044949,9.6402378,13.64478,13.1806,13.06836,1.083851,1.003149,.080520101,.0031437001,.045973402,.085530803,5.862515,0,0,0,0,1.118782,1.590711,.1122406,.46418089,10.61047,.043627001,.76349771,.2511622,.030337101,.0222416,.00092030002,.063082397,.00049469998,3,1447.37,1393.041,1463.101,1392.274,1420.205,737.93597,.51959813,7.2585568,1.2048399,1.451638,.1249803,.0156201,.73302507,.2396442,.35600421,.54364669,.75363082,-.15592431,.53969067,-.3977384,-.54821122,-.47175089,-.46283299,-.3047832,-.40942979,90,Abony,4567,807978,14876,12797,451102,98.769997,0.0801976,0.0036366,0.020151,.043255601,.0018711,1.594142,2.54129,4.9569049,24.57091,1.51885,2.306905,1.16246,.00079080003,.74682808,.28709969,.1890244,.073706701,.3070046,2317,7998.2192,5090561,5077361,2726092,1488.438,1,0,0,1272.972,1,0,0,-.76625621,.85958922,-.19161379,18.01,2.3814659,1.329121,1.350913,.93089432,.1305335,.50920272,-.44297108,.021067571,.0845953,-.037471309,.052314691,-.4648954,-.72730398,-.7306131455458557
41,7,442,Acs,23754,.3942939,.40082949,9702730,34082.93,1,.0120343,.97823942,.0046159001,.042873599,.73357898,.36161229,.0059662,.2227881,.0068393,.13082071,.26222351,.50266999,8,.087467298,.56480169,.184136,.63352269,8,.091417,.56867743,.2044747,.44099721,.42940569,.39195901,7144,654722.19,796845.13,1186326,.35657561,.1022067,.4266386,2.2480719,.0393348,0.0349727,8.8740282,13.98637,13.58842,13.39197,1.0955369,1.026994,.091244899,.026636399,.1820205,.1271462,5.0538268,0,0,0,0,1.217074,1.488778,.1964494,.39795601,10.43658,.0217606,.74893773,.2533316,.040181901,.0480772,.0016146,.064176902,.0023113999,1,1459.257,1459.257,1464.905,1464.905,1459.257,3.0200001e-10,2.0700000e-13,7.2856832,.57596099,.33173111,.064904101,.0042125001,.54072517,-.1207125,-.27929661,.54364669,.71189928,.74437588,-.1387872,-.29571801,.6738469,-.92091459,-.82901257,-.37547061,.029847501,194,ÃÂcs,2423,499926,6965,10375,259453,107.08,0.0360053,NA,NA,.088385701,.0078119999,1.452054,2.1084609,4.8270111,23.30003,1.548201,2.3969271,.67132533,.00071779999,.74707478,.57107878,.36886609,.040897202,.3478823,215,7198.665,4123661,4920988,2765943,1364.8,1,0,0,1145.718,1,0,0,-.84816468,.66656709,-.46723589,2.01,.99777973,1.439492,1.439492,0,-.25847608,.32643694,-.44297108,-.14288697,-.2535837,1.0746856,-.15681903,-1.2463669,-1.2533633,1.312173923988432
119,9,892,Adony,16548,.71357292,.70973659,27900000,24430.42,1,.0030111,.96507078,.0249925,.067984097,.68751651,.4001615,.0034984001,.0374058,.0088804998,.2255113,.3162002,.55741471,3,.058962099,.39905831,.24426129,.66622382,3,.0259954,.45313281,.2766917,.4628371,.45736411,.44351119,3814,685812.88,843924.63,1181911,.26440471,.07265,.3257961,2.2063329,.017083799,0.0368009,8.2464342,13.98264,13.64582,13.43836,1.031235,1.011966,.0307566,.0118953,.1061431,.069909804,4.867907,0,0,0,0,1.230546,1.400494,.2074582,.33682489,10.10363,.034929201,.64331961,.26754999,.032062899,.039507501,.001028,.071583003,.0015608,1,1429.1801,1429.1801,1453.226,1453.226,1429.1801,1.6499999e-11,1.2000000e-14,7.2648559,.29990539,.089943297,.036367901,.0013225999,-.85421121,1.008093,.99279302,.54364669,.63199532,.2253201,.069260597,-.35015249,-.72252011,-.6472109,-.60848802,-.37547061,-.3084842,353,Adony,1445,279458,3912,6105,118902,82.290001,NA,NA,NA,.1138894,.0129708,1.425707,2.0326409,2.860635,8.1832333,1.547536,2.3948679,.64078617,.00014,.74619091,.43661231,.28213379,.078434698,.3693763,622,4252.3149,1438898,4992088,2707552,1252.026,2,.3061389,.61227769,676.78558,1,0,0,-1.149996,1.1165119,.36966559,14.01,.73753119,.6713298,.55212432,.55212432,.9227162,.053918499,-.44297108,-.74706119,-.2450984,-.52403456,-.15157168,-.47324854,-.6189574,.326998435958281
81,11,667,Ajka,2743,.70980638,.72914439,27800000,49330.512,1,.0098577999,.94949758,.032341201,.097296603,.63935769,.52177203,.033233698,.045949802,.0111695,.1059559,.2716088,.60163093,29,.1363565,.39139771,.18653961,.68223703,29,.1079241,.4566288,.2051136,.45494899,.43570399,.41024899,30468,690069.38,800776.38,1134142,.3026818,.0126698,.1335429,2.5282979,.024119699,0.0556681,10.32443,13.94139,13.59334,13.44455,1.062048,1.04417,.060198899,.0432222,.0178337,.091616303,6.392292,0,0,0,0,1.160429,1.416303,.1487897,.34805,10.80632,.050502401,.57793742,.244885,.029317001,.0129347,.00085950003,.059968699,.00016729999,9,1549.408,1473.057,1560.6121,1419.499,1511.233,1457.34,.96433842,7.3206811,.63356233,.4014011,.061365299,.0037656999,-1.717738,1.079013,.98283529,.54364669,.80063009,-.31735641,.72558701,.30573139,-.65816402,-.32770571,-.34769571,-.24427959,.61449188,39,Ajka,12864,2988049,29058,9505,1765731,137.25999,0.0743469,0.0726682,0.0635467,.0213404,.0004554,1.6851521,2.8397379,6.2577529,39.15947,1.500338,2.2510149,3.057128,.0010453,.74771923,.1786004,.1190401,.0356512,.4427008,421,19347.92,29800000,4894092,2693901,3417.115,6,.85052699,5.1031618,3079.356,6,.85052699,5.1031618,3.4422181,1.221705,1.4690861,53.009998,3.4320669,1.30049,1.257362,.80964297,.90878171,.75692058,1.0579216,2.348419,2.592572,.13988823,1.603276,-1.0722035,-.84809148,-1.525551366774612
341,12,2194,Akaszto,20744,.50596333,.50596333,6393178,0,0,.0084801,.98271358,.0045662001,.0341717,.50124401,.67740971,.048642199,.0286482,.0050730999,.0477469,.1853178,.57871878,2,.067728803,.52845532,.31519699,.66654259,2,.0614434,.60617977,.25280899,.47803241,.46303019,.4464792,3482,367602.41,480899.09,744849,.2741935,.1275554,.40235949,1.957185,.0118254,0.0416264,8.1553621,13.52094,13.08341,12.81476,1.03707,1.0324,.036399599,.031886201,.1618932,.075182103,3.8305731,1,0,2,0,1.3082041,1.5488679,.26865551,.4375245,0,.017286399,.84365219,.23998749,.033621199,.049336798,.0011304,.057594001,.0024341,1,1477.411,1477.411,1535.818,1535.818,1477.411,2.1600000e-09,1.4600000e-12,7.2980471,.29908681,.0894529,.036673602,.001345,1.7916549,.2634666,-.51014203,-1.836318,-1.7927099,-1.8736891,1.565556,.64560401,-.78848588,-1.015766,-.90394008,-.37547061,.23404691,429,AkasztÃÂ³,1024,238421,3230,6488,107290,104.78,NA,NA,NA,.20463941,.0418773,1.296822,1.681748,1.966188,3.8658941,1.509216,2.2777331,.49784219,.00050520001,.74701041,.53862637,.35689151,.0338821,.3170279,1788,6282.6191,3140947,5023817,2663254,1077.457,1,0,0,999.92261,1,0,0,-.94200671,-2.3636301,-.1745254,6.0100002,.91797489,1.324358,1.3997591,.095106602,.15465179,-.63582337,-.44297108,-.33073029,-.6763109,-.35424644,-.41823837,-.31656772,-.17756349,1.176157051541083
486,13,3165,Albertirsa,6746,.52299207,.52299207,13600000,31242.859,1,.0222783,.95941192,.0046000001,.078968197,.78271568,.2795735,.25249919,.068643801,.0109963,.1226258,.233922,.55177307,16,.086595803,.4522585,.2218142,.65998179,16,.090615198,.4875423,.207936,.46565661,.4655301,.4376342,12523,555877.63,684099.31,955066,.27516729,.022573199,.2100447,2.5639091,.029881001,0.048196,9.4353218,13.76954,13.43586,13.2283,1.063743,1.000272,.061793499,.0002716,.044118799,.075717002,6.5736299,1,0,3,0,1.230665,1.3960921,.20755491,.3336769,10.34958,.0405881,.67407268,.27173519,.0291635,.0222615,.00085050002,.07384,.00049559999,3,1738.6331,1454.698,1606.324,1478.361,1596.666,20154.76,12.62303,7.3756728,.65616512,.4305526,.069543503,.0048362999,-.448044,.32569289,-.005814,.54364669,.69101989,1.298072,-.5815472,5.1421652,-.48722431,-.52748501,-.51372302,1.3417979,1.575485,110,Albertirsa,4270,753944,12410,7296,333690,78.150002,0.0770902,0.0375428,0.0189006,.036603101,.0013398,1.654749,2.738193,5.7384448,32.929749,1.549425,2.400718,1.700932,.00091090001,.74598843,.28156561,.1817227,.073706701,.34407729,2656,7368.0469,4320002,5046902,2728038,1584.476,1,0,0,1172.676,1,0,0,-.83081257,.85540098,-.12988929,16.01,2.316088,1.292634,1.287465,.87999147,.2176507,.24625351,-.44297108,-.10815418,-.083687998,-.33735585,-.05175361,-.24743919,-.53705621,-.8135517862266085
