kshkod,telnevclear,user_citycode,rrrdi_plain,residential_area_plain,ethnic_fractionalization,religious_fractionalization,fidesz_cv_14,gini_2016,gini_2011,population,income_pc_2011,income_pc_2016,fragmentation,user,popdensity_residental,sw,jaras_cv,stdist_new,fragm_relstdev_x_clc_new,gini_delta,gini_change,user_rate,county,county_id,km_to_any_border,pct_at_least_hs,pct_over60,pct_unemployed,foreign_2011,foreign_2015,foreign_delta,foreign_change,diversity,radii,d500l,d500div,d1kl,d1kdiv,diversity_com,radii_com,d500l_com,d500div_com,d1kl_com,d1kdiv_com,rrrdi_plain_scaled,stdist_new_scaled,diversity_scaled,radii_scaled,d500div_scaled,log_d500l,log_d500div,diversity_com_scaled,radii_com_scaled,log_d500l_com,log_d500div_com,z_rrrdi_plain,z_fragm_relstdev_x_clc_new,z_stdist_new,z_fragmentation,z_gini_2011,z_gini_2016,z_sw,z_ethnic_fractionalization,z_religious_fractionalization,z_fidesz_cv_14,z_jaras_cv,z_income_pc_2011,z_income_pc_2016,z_population,z_popdensity_residental,z_user,z_residential_area_plain,z_user_rate,z_km_to_any_border,z_pct_at_least_hs,z_pct_over60,z_pct_unemployed,z_foreign_2011,z_foreign_2015,z_foreign_delta,z_diversity,z_radii,z_d500l,z_d500div,z_d1kl,z_d1kdiv,z_rrrdi_plain_scaled,z_stdist_new_scaled,z_diversity_scaled,z_d500div_scaled,z_diversity_com_scaled,z_radii_com_scaled,z_d500l_com,z_d500div_com,ps0,ps1,ps2
201,Rackeresztur,28555,0,5927938,.077308796,.70088261,.070286103,.46147051,.46378899,3360,688399.31,998592,.23212589,1241,.0005585,.296628,.046396598,815.65167,0,.99500102,-.0050115185,.36934525,Fejer,7,80.350998,46.700001,.22482584,.061431285,5125,0,-.99980491,-8.5420704,.29862657,1.1888913,4,.22161022,2,.075093538,.34657359,1.2627176,3,.25993019,1,0,0,52.301498,.019148637,.076234497,.014210167,1.3862944,.20016985,.022223113,.080968417,1.0986123,.23105632,-1.72439585671384,-.4435302960147073,-.5699144534033918,-1.081814774389031,-.2931319179283545,-.6565974832977687,.4926367418314023,-.5582133007243361,.3048597074431508,-.5343511889466469,-.9452559225132224,-.0162766693331315,.0164182525325334,-.4228649438408326,-.4407319070381554,-.3466171311643152,-.5957072300261519,.3675717169801874,.5180706426688427,1.429033415143341,-.3488941660658261,-.0852279569975984,-.1082530994336202,-.2711410514949595,-.0727868233747756,3.014024680372309,-.7604633948431671,-.5774418708162451,2.808651690565479,-.6563633994103343,1.157025698417296,-1.766522331373092,-.5484091049474203,3.069936559731721,2.879486655975556,2.083698829853432,-.7093122816674772,-.3948052445406176,1.512057569746915,-1.6369038,-2.856555,-3.0514822
206,Gonyu,22743,.51165849,5233828,.044470798,.64614648,.0530186,.47577789,.45972571,3177,869072.69,1254248,.2586613,1179,.00059900002,.31604901,.067594297,679.87671,0,1.0349169,.034321111,.37110481,Gyor-Moson-Sopron,8,77.600998,26.6,.26659751,.069502078,3000,384790,127.22092,4.8537545,.12858425,1.414265,8,.15319303,2,.047480136,.13460234,1.5339719,4,.2664358,2,.10008048,.033072844,43.946217,.0083114943,.091415986,.009902169,2.0794415,.14253464,.0087004947,.09915366,1.3862944,.2362065,.1724484766278006,-.4435302960147073,-.7448104071351528,-.6215087129541191,-.4055557959638186,-.2410571614701942,.7130939338568271,-.9348128878352142,-.3226206360543694,-.8417114242579432,-.0468704324859702,.872557489307091,1.10074809407789,-.4315041165713197,-.3400676242899985,-.3522556644028999,-.6410134137499443,.3874086491821864,.439014863596857,-.2737601169558618,.3814525440072244,.1733014483650615,-.1082798899247131,-.2437397502246408,-.0472660082065034,.5870334734122482,-.5925960349850534,-.2999412308405439,1.669552456526919,-.6563633994103343,.4916295498713513,.2971248206083736,-.7377454084621136,.6356843404427821,1.741200585506698,-.0744222507004941,-.5159955655207645,-.2279361213984501,1.57712581956814,-.31156582,-1.1396171,-.61484492
216,Komadi,16343,.2565085,10800000,.1605268,.6999011,.18990029,.4725391,.46763271,6000,470325.41,748438,.2293932,1686,.00048069999,.3304897,.1042284,1120.787,0,1.010492,.010437309,.28099999,Hajdu-Bihar,9,27.35,22.9,.27659574,.08510638,469350,155850,-.6679436,-1.1024505,.013918734,2.4863873,6,.0037894335,4,.0026206367,.085177995,2.5071468,4,.03541733,1,0,.015838692,69.205498,.00085944339,.15352754,.00023398706,1.7917595,.0037822716,.0052595059,.15480939,1.3862944,.034804564,-.7734555258073378,-.4435302960147073,-.1768601627166195,-1.129218445063774,-.1867827108245049,-.3351240592424917,.8770170655752014,.3961647535061584,.2936079446411061,1.594772305768257,1.505729501944453,-1.089105120028235,-1.044575611026066,-.2982342552698716,-.6341066942719847,-.3061470135647962,-.2776963440200329,-.6284159169741971,-1.005578503651429,-.5872097313003333,.556264247162283,.6731496033062316,-.1024004802676984,-.2600428088093929,-.0727207703162453,-1.049572042668117,.2059633797823343,-.4386915508283945,-.8179147269671084,-.291545669773333,-.5893433337355882,-.7782350398959397,-.1653531156130562,-1.038204472589165,-.8133864758336812,-.6235814473987676,.0756480019363869,-.2279361213984501,-.7334908650977735,-.66721761,-.17173827,.017684313
219,Nemesvamos,35356,0,2882380,.078519203,.72804821,.081964098,.4921931,.4995999,2709,904974.38,1221676,.2333599,764,.00087290001,.29483461,.052319702,551.58038,0,.98517454,-.014936459,.28202289,Veszprem,19,124.53,19.4,.13333334,.068571426,2523686,1953440,-.2259575,-.25612849,.019616745,2.7273254,26,.03481089,9,.014233555,.21217139,2.9680498,3,.36620408,1,0,0,37.08321,.0013188502,.18336037,.0023403652,3.2580965,.034218695,.01426446,.19954447,1.0986123,.31203616,-1.72439585671384,-.4435302960147073,-.9100728950217726,-1.060408574530875,.6976941593747622,.2357024680126242,.4722791755702297,-.5443318650381542,.6162787376215857,-.3264837617252204,-.6942272483782742,1.049178124211524,.9625984257782401,-.4535977386361718,.3407208754823641,-.3899974594676198,-.7944979264423765,-.6168838795092285,1.788108944913863,-.8837160621082447,-1.94857301203588,.1434901381436294,-.0765008707101711,-.1320345311761064,-.0726327982262491,-.9682450934181476,.3854237569772724,.9488116490501117,-.3014287971541866,.6204986543191702,-.309508524841722,-1.766522331373092,-.8932657518271933,-.9350119496401855,-.2568261638080202,.8135500268088367,.5512006512062398,-.3948052445406176,2.574995176862581,-1.8807542,-1.5010601,-1.0508393
221,Balatonfuzfo,13744,.63060129,6661715,.0454478,.73831552,.16279911,.4932017,.50243711,4523,719233.81,1015662,.2934877,1627,.00064530002,.2552301,.070448399,1024.838,2.446789,.98161876,-.018552272,.35971701,Veszprem,19,135.011,27.299999,.20471014,.04227053,74620,681540,8.1333675,2.2119346,.068542875,1.4092216,8,.046649389,1,0,.092021771,1.4113499,5,.081151903,3,.051101159,.040135298,65.226921,.0043624849,.08969143,.0029690505,2.0794415,.045594003,.0058568246,.089826882,1.6094379,.078027047,.6133987889361519,.2754840290425193,-.300455021490842,-.0173799643218106,.7761948716539315,.2649960196827985,.0227093751940661,-.9236082285204085,.7339804990226794,1.112373207761725,.0740900192827082,.1354156144059193,.0888183150977744,-.3679613488377919,-.224987263118371,-.3115127145499009,-.5478118884026438,.2590248142092347,2.089412160336352,-.2144589477441558,-.7006023798168821,-.6989989444564866,-.1073769558202092,-.2226078701031015,-.0709689737388627,-.2699290131048503,-.5963525512105752,-.2999412308405439,-.1043259145817784,-.8387722642288349,-.6524924385143992,.7378009401763535,-.2555103375267526,-.251346986921575,-.0907110182760132,-.5282533168720098,-.6151431085172557,-.0610669982562826,-.2760596187004825,.34103096,.34082991,.41856426
230,Kaba,29957,.027700899,8175056,.079732098,.69824082,.096401103,.4926872,.50119507,6218,554557.63,806751,.3514924,1977,.0007256,.28064749,.095949702,1060.807,0,.98302484,-.017120894,.31794789,Hajdu-Bihar,9,45.759998,30.700001,.24407327,.13846983,3736330,3738170,.00049246172,.00049234048,.099254005,2.2600484,10,.10625798,4,.03541733,.20707555,2.3862133,5,.2601184,2,.075093538,.0017403781,66.64785,.0062358808,.14199318,.0066759228,2.3025851,.10098314,.013010038,.14991981,1.6094379,.23120569,-1.621701785034734,-.4435302960147073,-.2541222412901142,.9888197356510554,.7418297317399951,.2500527854531531,.3112343038516901,-.5304218902863727,.2745748570810797,-.069506173791483,1.154867745085115,-.6747193629511042,-.7972490235411859,-.2879427817439362,-.0253987312942579,-.2796822849772456,-.4490325805368191,-.2118722593745036,-.4763360564276581,.0735759028786027,-.0123671126217021,2.382525740016483,-.0612127162250829,-.0049420276906311,-.0725877260480003,.168406810057955,.0373771612161622,-.1611909108526932,.888116215803564,-.291545669773333,.2009538393251009,-1.657927912255583,-.2233111321150504,.1694574934289318,.8887417780436444,.613352569803393,.0236697528866271,-.0610669982562826,1.513939938306556,-1.3302369,-1.5964553,-1.1970966
231,Etyek,9942,.0480684,4675564,.1813602,.73947018,.25729609,.54054302,.51308012,4232,922994.81,1244720,.27987021,1573,.00094150001,.26351449,.059366599,524.45941,0,1.0535256,.052142221,.37169188,Fejer,7,54.07,29.6,.44921875,.01953125,13330,2520380,188.06166,5.2420731,.1597272,2.5850711,10,.14507905,7,.10043968,.2664358,3.0365002,3,.1900541,1,0,.0031298893,34.14925,.010400355,.16832234,.009446566,2.3025851,.13547367,.017348498,.19771636,1.0986123,.17399877,-1.546194429622114,-.4435302960147073,-.9450082622648025,-.253600622493536,1.070668399969148,1.639966591356121,.1167494502098236,.635090734639313,.747217223927107,2.794412259150195,-.3955707772510581,1.137830812542836,1.060336389559928,-.381699049737091,.5112286948888331,-.3164236951125392,-.6774526112119881,.3940272316494071,-.2374438263713698,-.0196118334062234,3.574450036091271,-1.427399801552066,-.1081496566197769,-.0916621365135774,-.0351563813414112,1.031532616136407,.2794670378486464,-.1611909108526932,1.534460259175636,.2556809246821689,1.767787917681459,-1.571226546622793,-.9597512570414509,1.104886774575929,1.620818331127261,1.305742295251922,.5317669822533984,-.3948052445406176,.8131660179999067,-1.7896715,-2.360091,-2.0994844
232,Baktaloranthaza,28152,.44265139,6386057,.3395111,.75905222,.047161002,.4662241,.45579511,3820,510322.09,788319,.27344859,1201,.00067370001,.32567,.076695703,721.2085,0,1.0228809,.02262307,.3143979,Szabolcs-Szatmar-Bereg,16,57.5,47.700001,.33404711,.065845825,3530,25330,6.1738882,1.9704478,.17567708,2.1716957,6,.18633197,3,.094298393,.36620408,2.5232828,2,.21217139,1,0,.028249005,46.025887,.011211311,.13859268,.011891283,1.7917595,.17086618,.023370313,.16103017,.69314718,.19241329,-.0833778737905881,-.4435302960147073,-.6915696464968384,-.3649956814392633,-.5143086498391702,-.5185352942010726,.8223064445487233,2.448829869270021,.9717003803539813,-.9459762231172016,.3388587379995652,-.8923388721931108,-.8754258222056569,-.4011489905292258,-.154398059747951,-.3502548945440472,-.5658047310254747,-.2518942049722698,-.1388397004285261,1.513749509659887,1.560758967146061,.0561817340891489,-.1082732080610522,-.2693372755101959,-.071358984855892,1.259183041114589,-.0284314411343434,-.4386915508283945,2.221293135027013,-.4739545345918336,1.619802316774598,-.003868410332295,-.6906186891801127,1.287044837626043,2.266776662760029,2.266784322178155,.1417775698287822,-.5616743676827851,1.03438024227095,-.49107653,-1.5577009,-1.121832
235,Ujkigyos,17159,.42741901,14300000,.0829698,.6361289,.061501201,.4901053,.46598741,5530,548015.63,837190,.25529659,1701,.0003666,.28809389,.049350701,1081.484,2.690089,1.0517565,.050461624,.30759493,Bekes,4,21.559999,59,.24769928,.044889364,0,0,0,0,.27798715,.75356251,6,.24969544,1,0,.36620408,.76132715,3,.36620408,1,0,.025942277,65.640877,.016872482,.04573762,.015155312,1.7917595,.22289987,.022226827,.046208896,1.0986123,.31203616,-.1398480824232792,.3469802452802585,-.2274875518973928,-.6798759106208054,-.2323052244829339,.1750648247110829,.3957620475703915,-.4932906006762572,-.4374594056451414,-.6907217638172908,-.8200572716022461,-.7069031480042386,-.6681461820401098,-.3204222945230351,-.9177064302844602,-.3047828522973967,-.0492431549962856,-.3285896625991785,-1.172026879362166,2.471041313063608,.0510308864105087,-.6151105714281299,-.1083177117944912,-.2711410514949595,-.0725878240666648,2.719441017561433,-1.084713645242654,-.4386915508283945,3.276251256284247,-.8387722642288349,-.6524924385143992,-.1478013606324511,-.2461298233237279,2.558664001327889,3.129218559934432,2.084291578119696,-1.078820489190627,-.3948052445406176,2.574995176862581,-.2785514,-1.8044655,-1.6421279
243,Buk,15945,.54336178,5177099,.1512972,.63773131,.044524901,.50769782,.4904066,3354,750806.38,1051088,.201281,1513,.00067470002,.31850171,.061562799,926.89392,0,1.0352589,.034651529,.45110315,Vas,18,12.26,32.700001,.32395643,.075317606,1821989,1351510,-.25822261,-.29870608,.042607237,1.7288984,6,.015943287,1,0,.068794817,1.7643528,6,.053137552,2,.022426486,.035146855,59.955276,.0027560098,.11183219,.0010312768,1.7917595,.015817527,.0044499291,.11412553,1.7917595,.051773854,.2899804115005215,-.4435302960147073,-.4266198527742131,-1.616876973507373,.4433314350228224,.6860180087008471,.7409357203785008,.290315922586255,-.4190897942301801,-.9928986218416792,-.3024930151458567,.2907388435524571,.2390728327566043,-.4231481954057666,-.1519125040409246,-.3218803401821373,-.6447162483099809,1.289294749907,-1.439379128472964,.243008091911695,1.384330899911574,.3595886051932429,-.0853473682294125,-.1748986006000596,-.0726392202140142,-.6401049002604213,-.3582445444845729,-.4386915508283945,-.6155614174039709,-.8387722642288349,-.6524924385143992,.4265369205655096,-.3749693481112376,-.612195395088519,-.6027216371268822,-.7527845914005439,-.3568383741248687,.1058021248858849,-.5562555069641663,.036463778,.33273914,.36396721
