,Unnamed: 0,metroreg,year,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemployment,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crimes,density,crime/population_log,density_log,unemp_log,gdp_log
0,836,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0101,12,Wien,M,Intentional homicide,AT,4.475486084408414,30.41026426222071,1.4986149680420238,5.717365284623224,3.2068032436339315,4.969813299576001
4,892,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0101,11,Wien,M,Intentional homicide,AT,4.043289664579716,30.855812634683,1.3970586340431417,5.731910241632476,3.2068032436339315,4.948759890378168
8,948,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS0101,21,Wien,M,Intentional homicide,AT,7.566564145727701,31.47746399001928,2.023739086704688,5.751856953895983,3.3357695763397,4.948759890378168
12,1056,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS0101,18,Wien,M,Intentional homicide,AT,6.402991477618343,31.883701939435184,1.856765299537551,5.764680061235861,3.109060958860994,4.912654885736052
16,1060,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS0101,18,Wien,M,Intentional homicide,AT,6.402991477618343,31.883701939435184,1.856765299537551,5.764680061235861,4.796616650559047,4.912654885736052
20,1168,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS0101,41,Wien,M,Intentional homicide,AT,14.443953584883593,32.19414766927527,2.67027588995696,5.774369779624595,3.194583132299156,4.912654885736052
24,1172,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS0101,41,Wien,M,Intentional homicide,AT,14.443953584883593,32.19414766927527,2.67027588995696,5.774369779624595,4.741447804280639,4.912654885736052
28,1280,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS0101,32,Wien,M,Intentional homicide,AT,11.212714657786195,32.3681864579789,2.417048371708791,5.779761133968183,3.0155349008501706,4.897839799950911
32,1284,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS0101,32,Wien,M,Intentional homicide,AT,11.212714657786195,32.3681864579789,2.417048371708791,5.779761133968183,4.688591794127164,4.897839799950911
36,1392,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS0101,18,Wien,M,Intentional homicide,AT,6.263058912767768,32.59606442100488,1.8346687099764047,5.786776650797007,3.0349529867072724,4.882801922586371
40,1396,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS0101,18,Wien,M,Intentional homicide,AT,6.263058912767768,32.59606442100488,1.8346687099764047,5.786776650797007,4.811371016571989,4.882801922586371
44,1452,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS0101,3,Graz,M,Intentional homicide,AT,4.954615720004757,17.404311583788445,1.6003196107895727,5.159303060690869,1.2237754316221157,4.897839799950911
48,1508,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS0101,4,Graz,M,Intentional homicide,AT,6.516154361180663,17.644696751940213,1.874284380020388,5.173020363911835,1.4350845252893227,4.875197323201151
52,1564,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS0101,4,Graz,M,Intentional homicide,AT,6.421463098259623,17.904886461626905,1.8596459886624848,5.187658755269737,1.5040773967762742,4.882801922586371
56,1672,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS0101,5,Graz,M,Intentional homicide,AT,7.94709144400241,18.084535786145445,2.072806005624244,5.1976422896221885,1.1939224684724346,4.867534450455582
60,1676,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS0101,5,Graz,M,Intentional homicide,AT,7.94709144400241,18.084535786145445,2.072806005624244,5.1976422896221885,2.8094026953624978,4.867534450455582
64,1784,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0101,4,Graz,M,Intentional homicide,AT,6.3157628809983954,18.204541534923827,1.843048553098154,5.2042561908340685,1.0986122886681098,4.852030263919617
68,1788,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS0101,4,Graz,M,Intentional homicide,AT,6.3157628809983954,18.204541534923827,1.843048553098154,5.2042561908340685,2.694627180770069,4.852030263919617
76,1900,AT002M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,637532.0,T:Total,Y15-74:From 15 to 74 years,12.1,ICCS0101,3,Graz,M,Intentional homicide,AT,4.705646147958063,18.3251509054326,1.548763095799015,5.210859575681427,2.4932054526026954,4.859812404361672
80,2008,AT002M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,642134.0,T:Total,Y15-24:From 15 to 24 years,3.8,ICCS0101,1,Graz,M,Intentional homicide,AT,1.5573073532938606,18.45743029606209,0.4429582743303036,5.218052108482028,1.33500106673234,4.859812404361672
