,Unnamed: 0,metroreg,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemp per Tsd.,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crime/population,density,crime/population_log,density_log,unemp_log,gdp_log,year,crimes,unemployment
2226,66920,ES021M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",69.0,5817.0,1862780.0,T:Total,Y15-24:From 15 to 24 years,21.4,ICCS0401,1655,Alicante/Alacant - Elche/Elx,M,Robbery,ES,888.4570373313005,320.23035929173113,6.789486292268375,5.769040609596301,3.0633909220278057,4.23410650459726,2019,888.4570373313005,21.4
217,7269,BE003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,1286.0,634725.0,T:Total,Y15-24:From 15 to 24 years,3.1,ICCS0401,525,Gent,M,Robbery,BE,827.129859387924,493.56531881804045,6.717961707349481,6.201655208408852,1.1314021114911006,4.912654885736052,2016,827.129859387924,3.1
382,12724,BG_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",33.0,82665.0,3911351.0,T:Total,Y15-24:From 15 to 24 years,16.4,ICCS0401,516,Non-metropolitan regions in Bulgaria,N,Robbery,BG,131.92372661006388,47.31568378394726,4.882223926867386,3.856841821593005,2.797281334830153,3.49650756146648,2016,131.92372661006388,16.4
2880,89036,IT011M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",94.0,2473.0,848829.0,T:Total,Y15-24:From 15 to 24 years,5.9,ICCS0401,241,Venezia,M,Robbery,IT,283.9205540809751,343.23857662757786,5.648694459875415,5.838425764058098,1.7749523509116738,4.543294782270004,2020,283.9205540809751,5.9
4158,130897,SE006M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",123.0,8608.0,345481.0,T:Total,Y15-24:From 15 to 24 years,5.7,ICCS0401,173,Uppsala,M,Robbery,SE,500.751126690035,40.13487453531599,6.216109224548458,3.692245645512029,1.7404661748405046,4.812184355372417,2014,500.751126690035,5.7
1801,56490,ES001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",127.0,8031.0,6476838.0,T:Total,Y15-24:From 15 to 24 years,68.7,ICCS0401,16314,Madrid,M,Robbery,ES,2518.8216842848315,806.4796413896153,7.831546485551975,6.692678654084363,4.229749199228304,4.844187086458591,2017,2518.8216842848315,68.7
2164,65380,ES015M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",78.0,5326.0,582388.0,T:Total,Y15-24:From 15 to 24 years,5.0,ICCS0401,178,Santander,M,Robbery,ES,305.63816562154443,109.34810364250843,5.722401936999624,4.694536404882858,1.6094379124341005,4.356708826689592,2020,305.63816562154443,5.0
2588,79012,IT001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,5363.0,4353738.0,T:Total,Y15-24:From 15 to 24 years,33.0,ICCS0401,3024,Roma,M,Robbery,IT,694.5755578309949,811.8101808689166,6.543300950849765,6.699266545431008,3.49650756146648,4.867534450455582,2017,694.5755578309949,33.0
2106,63952,ES013M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",80.0,10601.0,1022205.0,T:Total,Y15-24:From 15 to 24 years,5.5,ICCS0401,362,Oviedo - Gijón,M,Robbery,ES,354.1364012111074,96.42533723233656,5.869682153075009,4.568769001441939,1.7047480922384253,4.382026634673881,2019,354.1364012111074,5.5
2358,70224,ES522M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",64.0,7436.0,1249739.0,T:Total,Y15-24:From 15 to 24 years,17.6,ICCS0401,831,Cádiz,M,Robbery,ES,664.9388392296311,168.06603012372244,6.499695065342993,5.124356938635394,2.8678989020441064,4.158883083359672,2019,664.9388392296311,17.6
