,Unnamed: 0,metroreg,year,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemployment,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crimes,density,crime/population_log,density_log,unemp_log,gdp_log
1,837,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0401,2537,Wien,M,Robbery,AT,946.1923496786789,30.41026426222071,6.852445877853305,5.717365284623224,3.2068032436339315,4.969813299576001
5,893,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0401,2449,Wien,M,Robbery,AT,900.1833080505206,30.855812634683,6.802598418196939,5.731910241632476,3.2068032436339315,4.948759890378168
9,949,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS0401,2061,Wien,M,Robbery,AT,742.6042240164187,31.47746399001928,6.6101632298717234,5.751856953895983,3.3357695763397,4.948759890378168
13,1057,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS0401,1685,Wien,M,Robbery,AT,599.3911466548283,31.883701939435184,6.395914384427848,5.764680061235861,3.109060958860994,4.912654885736052
17,1061,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS0401,1685,Wien,M,Robbery,AT,599.3911466548283,31.883701939435184,6.395914384427848,5.764680061235861,4.796616650559047,4.912654885736052
21,1169,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS0401,1474,Wien,M,Robbery,AT,519.2777459541077,32.19414766927527,6.252438896001934,5.774369779624595,3.194583132299156,4.912654885736052
25,1173,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS0401,1474,Wien,M,Robbery,AT,519.2777459541077,32.19414766927527,6.252438896001934,5.774369779624595,4.741447804280639,4.912654885736052
29,1281,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS0401,1607,Wien,M,Robbery,AT,563.0885142207005,32.3681864579789,6.333436834646577,5.779761133968183,3.0155349008501706,4.897839799950911
33,1285,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS0401,1607,Wien,M,Robbery,AT,563.0885142207005,32.3681864579789,6.333436834646577,5.779761133968183,4.688591794127164,4.897839799950911
37,1393,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS0401,1269,Wien,M,Robbery,AT,441.5456533501276,32.59606442100488,6.0902814197946284,5.786776650797007,3.0349529867072724,4.882801922586371
