,Unnamed: 0,metroreg,year,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemployment,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crimes,density,crime/population_log,density_log,unemp_log,gdp_log
2,838,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS05012,10768,Wien,M,Burglary of private residential premises,AT,4016.0028464091497,30.41026426222071,8.298042370138532,5.717365284623224,3.2068032436339315,4.969813299576001
6,894,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS05012,8505,Wien,M,Burglary of private residential premises,AT,3126.1980542955,30.855812634683,8.047572866074733,5.731910241632476,3.2068032436339315,4.948759890378168
10,950,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS05012,7327,Wien,M,Burglary of private residential premises,AT,2640.010261702232,31.47746399001928,7.878538083141229,5.751856953895983,3.3357695763397,4.948759890378168
14,1058,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS05012,6678,Wien,M,Burglary of private residential premises,AT,2375.509838196406,31.883701939435184,7.772967362144986,5.764680061235861,3.109060958860994,4.912654885736052
18,1062,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS05012,6678,Wien,M,Burglary of private residential premises,AT,2375.509838196406,31.883701939435184,7.772967362144986,5.764680061235861,4.796616650559047,4.912654885736052
22,1170,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS05012,4761,Wien,M,Burglary of private residential premises,AT,1677.2600736007507,32.19414766927527,7.42491683244717,5.774369779624595,3.194583132299156,4.912654885736052
26,1174,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS05012,4761,Wien,M,Burglary of private residential premises,AT,1677.2600736007507,32.19414766927527,7.42491683244717,5.774369779624595,4.741447804280639,4.912654885736052
30,1282,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS05012,4843,Wien,M,Burglary of private residential premises,AT,1696.9742839893297,32.3681864579789,7.436602111312293,5.779761133968183,3.0155349008501706,4.897839799950911
34,1286,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS05012,4843,Wien,M,Burglary of private residential premises,AT,1696.9742839893297,32.3681864579789,7.436602111312293,5.779761133968183,4.688591794127164,4.897839799950911
38,1394,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS05012,3213,Wien,M,Burglary of private residential premises,AT,1117.9560159290463,32.59606442100488,7.019257311196099,5.786776650797007,3.0349529867072724,4.882801922586371
