,Unnamed: 0,metroreg,year,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemployment,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crimes,density,crime/population_log,density_log,unemp_log,gdp_log
3,839,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS050211,429,Wien,M,Theft of a motorized land vehicle,AT,159.99862751760077,30.41026426222071,5.07516523718204,5.717365284623224,3.2068032436339315,4.969813299576001
7,895,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS050211,516,Wien,M,Theft of a motorized land vehicle,AT,189.66704244755763,30.855812634683,5.245270126726334,5.731910241632476,3.2068032436339315,4.948759890378168
11,951,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS050211,561,Wien,M,Theft of a motorized land vehicle,AT,202.13535646444004,31.47746399001928,5.308937554503961,5.751856953895983,3.3357695763397,4.948759890378168
15,1059,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS050211,474,Wien,M,Theft of a motorized land vehicle,AT,168.61210891061637,31.883701939435184,5.127600863336463,5.764680061235861,3.109060958860994,4.912654885736052
19,1063,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS050211,474,Wien,M,Theft of a motorized land vehicle,AT,168.61210891061637,31.883701939435184,5.127600863336463,5.764680061235861,4.796616650559047,4.912654885736052
23,1171,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS050211,408,Wien,M,Theft of a motorized land vehicle,AT,143.7349527471343,32.19414766927527,4.967970997656813,5.774369779624595,3.194583132299156,4.912654885736052
27,1175,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS050211,408,Wien,M,Theft of a motorized land vehicle,AT,143.7349527471343,32.19414766927527,4.967970997656813,5.774369779624595,4.741447804280639,4.912654885736052
31,1283,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS050211,433,Wien,M,Theft of a motorized land vehicle,AT,151.72204521316948,32.3681864579789,5.022050196911554,5.779761133968183,3.0155349008501706,4.897839799950911
35,1287,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS050211,433,Wien,M,Theft of a motorized land vehicle,AT,151.72204521316948,32.3681864579789,5.022050196911554,5.779761133968183,4.688591794127164,4.897839799950911
39,1395,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS050211,447,Wien,M,Theft of a motorized land vehicle,AT,155.53262966706623,32.59606442100488,5.046855546693809,5.786776650797007,3.0349529867072724,4.882801922586371
