geo,TIME_PERIOD,d_alc,gini,h_age,socnet,poverty,unemp,geo_d,iccs,Nr_Crimes,iccs_d
AL,2011,,,,,,,Albania,ICCS0101,4.38,Intentional homicide
AL,2011,,,,,,,Albania,ICCS0102,7.56,Attempted intentional homicide
AL,2011,,,,,,,Albania,ICCS020111,5.97,Serious assault
AL,2011,,,,,,,Albania,ICCS020221,0.07,Kidnapping
AL,2011,,,,,,,Albania,ICCS03011,0.78,Rape
AL,2011,,,,,,,Albania,ICCS03012,0.78,Sexual assault
AL,2011,,,,,,,Albania,ICCS0301,1.55,Sexual violence
AL,2011,,,,,,,Albania,ICCS0401,9.46,Robbery
AL,2011,,,,,,,Albania,ICCS05012,34.57,Burglary of private residential premises
AL,2011,,,,,,,Albania,ICCS0501,9.36,Burglary
AL,2011,,,,,,,Albania,ICCS05021,21.58,Theft of a motorized vehicle or parts thereof
AL,2011,,,,,,,Albania,ICCS0502,163.19,Theft
AL,2011,,,,,,,Albania,ICCS0601,26.13,Unlawful acts involving controlled drugs or precursors
AL,2014,,,,,,,Albania,ICCS0101,3.38,Intentional homicide
AL,2014,,,,,,,Albania,ICCS0102,6.25,Attempted intentional homicide
AL,2014,,,,,,,Albania,ICCS020111,4.55,Serious assault
AL,2014,,,,,,,Albania,ICCS020221,0.07,Kidnapping
AL,2014,,,,,,,Albania,ICCS03011,1.41,Rape
AL,2014,,,,,,,Albania,ICCS03012,1.93,Sexual assault
AL,2014,,,,,,,Albania,ICCS0301,3.35,Sexual violence
AL,2014,,,,,,,Albania,ICCS0401,10.25,Robbery
AL,2014,,,,,,,Albania,ICCS05012,57.21,Burglary of private residential premises
AL,2014,,,,,,,Albania,ICCS0501,10.18,Burglary
AL,2014,,,,,,,Albania,ICCS05021,13.84,Theft of a motorized vehicle or parts thereof
AL,2014,,,,,,,Albania,ICCS0502,274.9,Theft
AL,2014,,,,,,,Albania,ICCS0601,61.32,Unlawful acts involving controlled drugs or precursors
AL,2015,,,,,,,Albania,ICCS0101,1.86,Intentional homicide
AL,2015,,,,,,,Albania,ICCS0102,4.78,Attempted intentional homicide
AL,2015,,,,,,,Albania,ICCS020111,5.84,Serious assault
AL,2015,,,,,,,Albania,ICCS020221,0.27,Kidnapping
AL,2015,,,,,,,Albania,ICCS03011,2.46,Rape
AL,2015,,,,,,,Albania,ICCS03012,2.7,Sexual assault
AL,2015,,,,,,,Albania,ICCS0301,5.16,Sexual violence
AL,2015,,,,,,,Albania,ICCS0401,8.11,Robbery
AL,2015,,,,,,,Albania,ICCS05012,47.95,Burglary of private residential premises
AL,2015,,,,,,,Albania,ICCS0501,7.98,Burglary
AL,2015,,,,,,,Albania,ICCS05021,9.57,Theft of a motorized vehicle or parts thereof
AL,2015,,,,,,,Albania,ICCS0502,242.98,Theft
AL,2015,,,,,,,Albania,ICCS0601,80.74,Unlawful acts involving controlled drugs or precursors
AL,2016,,,,,,,Albania,ICCS0101,2.46,Intentional homicide
AL,2016,,,,,,,Albania,ICCS0102,4.57,Attempted intentional homicide
AL,2016,,,,,,,Albania,ICCS020111,4.08,Serious assault
AL,2016,,,,,,,Albania,ICCS020221,0.13,Kidnapping
AL,2016,,,,,,,Albania,ICCS03011,1.53,Rape
AL,2016,,,,,,,Albania,ICCS03012,2.64,Sexual assault
AL,2016,,,,,,,Albania,ICCS0301,4.17,Sexual violence
AL,2016,,,,,,,Albania,ICCS0302,3.65,Sexual exploitation
AL,2016,,,,,,,Albania,ICCS0401,5.53,Robbery
AL,2016,,,,,,,Albania,ICCS05012,42.13,Burglary of private residential premises
AL,2016,,,,,,,Albania,ICCS0501,5.23,Burglary
AL,2016,,,,,,,Albania,ICCS05021,10.32,Theft of a motorized vehicle or parts thereof
AL,2016,,,,,,,Albania,ICCS0502,196.17,Theft
AL,2016,,,,,,,Albania,ICCS0601,113.26,Unlawful acts involving controlled drugs or precursors
AL,2016,,,,,,,Albania,ICCS0701,31.75,Fraud
AL,2016,,,,,,,Albania,ICCS07031,8.9,Bribery
AL,2016,,,,,,,Albania,ICCS0703,35.89,Corruption
AL,2016,,,,,,,Albania,ICCS07041,12.69,Money laundering
AL,2016,,,,,,,Albania,ICCS0903,2.92,Acts against computer systems
AL,2016,,,,,,,Albania,ICCS09051,0.35,Participation in an organized criminal group
AL,2017,,36.8,,,58.5,,Albania,ICCS0101,1.81,Intentional homicide
AL,2017,,36.8,,,58.5,,Albania,ICCS0102,4.48,Attempted intentional homicide
AL,2017,,36.8,,,58.5,,Albania,ICCS020111,4.35,Serious assault
AL,2017,,36.8,,,58.5,,Albania,ICCS020221,0.07,Kidnapping
AL,2017,,36.8,,,58.5,,Albania,ICCS03011,1.49,Rape
AL,2017,,36.8,,,58.5,,Albania,ICCS03012,2.43,Sexual assault
AL,2017,,36.8,,,58.5,,Albania,ICCS0301,3.93,Sexual violence
AL,2017,,36.8,,,58.5,,Albania,ICCS0302,4.21,Sexual exploitation
AL,2017,,36.8,,,58.5,,Albania,ICCS0401,6.36,Robbery
