metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT,2013,83882.0,38200.0,,231.3,Austria,ICCS0101,62,Intentional homicide
AT,2013,83882.0,38200.0,,231.3,Austria,ICCS0401,3737,Robbery
AT,2013,83882.0,38200.0,,231.3,Austria,ICCS05012,15899,Burglary of private residential premises
AT,2013,83882.0,38200.0,,231.3,Austria,ICCS050211,974,Theft of a motorized land vehicle
AT,2014,83882.0,39000.0,8507786.0,244.9,Austria,ICCS0101,40,Intentional homicide
AT,2014,83882.0,39000.0,8507786.0,244.9,Austria,ICCS0401,3481,Robbery
AT,2014,83882.0,39000.0,8507786.0,244.9,Austria,ICCS05012,16947,Burglary of private residential premises
AT,2014,83882.0,39000.0,8507786.0,244.9,Austria,ICCS050211,1062,Theft of a motorized land vehicle
AT,2015,83882.0,39900.0,8584926.0,251.8,Austria,ICCS0101,42,Intentional homicide
AT,2015,83882.0,39900.0,8584926.0,251.8,Austria,ICCS0401,3416,Robbery
AT,2015,83882.0,39900.0,8584926.0,251.8,Austria,ICCS05012,15373,Burglary of private residential premises
AT,2015,83882.0,39900.0,8584926.0,251.8,Austria,ICCS050211,1683,Theft of a motorized land vehicle
AT,2016,83882.0,40900.0,8700471.0,270.0,Austria,ICCS0101,49,Intentional homicide
AT,2016,83882.0,40900.0,8700471.0,270.0,Austria,ICCS0401,3103,Robbery
AT,2016,83882.0,40900.0,8700471.0,270.0,Austria,ICCS05012,12876,Burglary of private residential premises
AT,2016,83882.0,40900.0,8700471.0,270.0,Austria,ICCS050211,1782,Theft of a motorized land vehicle
AT,2017,83882.0,42000.0,8772865.0,247.9,Austria,ICCS0101,61,Intentional homicide
AT,2017,83882.0,42000.0,8772865.0,247.9,Austria,ICCS0401,2610,Robbery
AT,2017,83882.0,42000.0,8772865.0,247.9,Austria,ICCS05012,11750,Burglary of private residential premises
AT,2017,83882.0,42000.0,8772865.0,247.9,Austria,ICCS050211,1566,Theft of a motorized land vehicle
AT,2018,83878.0,43600.0,8822267.0,220.1,Austria,ICCS0101,73,Intentional homicide
AT,2018,83878.0,43600.0,8822267.0,220.1,Austria,ICCS0401,2396,Robbery
AT,2018,83878.0,43600.0,8822267.0,220.1,Austria,ICCS05012,9751,Burglary of private residential premises
AT,2018,83878.0,43600.0,8822267.0,220.1,Austria,ICCS050211,1583,Theft of a motorized land vehicle
AT,2019,83878.0,44700.0,8858775.0,204.6,Austria,ICCS0101,74,Intentional homicide
AT,2019,83878.0,44700.0,8858775.0,204.6,Austria,ICCS0401,2628,Robbery
AT,2019,83878.0,44700.0,8858775.0,204.6,Austria,ICCS05012,8798,Burglary of private residential premises
AT,2019,83878.0,44700.0,8858775.0,204.6,Austria,ICCS050211,1628,Theft of a motorized land vehicle
AT,2020,83878.0,42700.0,8901064.0,243.5,Austria,ICCS0101,54,Intentional homicide
AT,2020,83878.0,42700.0,8901064.0,243.5,Austria,ICCS0401,2137,Robbery
AT,2020,83878.0,42700.0,8901064.0,243.5,Austria,ICCS05012,6372,Burglary of private residential premises
AT,2020,83878.0,42700.0,8901064.0,243.5,Austria,ICCS050211,1282,Theft of a motorized land vehicle
AT001MC,2008,8817.9,40400.0,,,Wien,ICCS0101,24,Intentional homicide
AT001MC,2008,8817.9,40400.0,,,Wien,ICCS0401,3762,Robbery
AT001MC,2008,8817.9,40400.0,,,Wien,ICCS05012,11985,Burglary of private residential premises
AT001MC,2009,8817.9,39800.0,,,Wien,ICCS0101,23,Intentional homicide
AT001MC,2009,8817.9,39800.0,,,Wien,ICCS0401,3464,Robbery
AT001MC,2009,8817.9,39800.0,,,Wien,ICCS05012,14077,Burglary of private residential premises
AT001MC,2010,8817.9,40500.0,,,Wien,ICCS0101,25,Intentional homicide
AT001MC,2010,8817.9,40500.0,,,Wien,ICCS0401,3243,Robbery
AT001MC,2010,8817.9,40500.0,,,Wien,ICCS05012,10637,Burglary of private residential premises
AT001MC,2011,8817.9,41700.0,,,Wien,ICCS0101,33,Intentional homicide
AT001MC,2011,8817.9,41700.0,,,Wien,ICCS0401,3002,Robbery
AT001MC,2011,8817.9,41700.0,,,Wien,ICCS05012,10230,Burglary of private residential premises
AT001MC,2012,8819.0,42100.0,,,Wien,ICCS0101,34,Intentional homicide
AT001MC,2012,8819.0,42100.0,,,Wien,ICCS0401,2964,Robbery
AT001MC,2012,8819.0,42100.0,,,Wien,ICCS05012,9631,Burglary of private residential premises
AT001MC,2013,8817.0,42200.0,,,Wien,ICCS0101,30,Intentional homicide
AT001MC,2013,8817.0,42200.0,,,Wien,ICCS0401,2755,Robbery
AT001MC,2013,8817.0,42200.0,,,Wien,ICCS05012,9975,Burglary of private residential premises
AT001MC,2013,8817.0,42200.0,,,Wien,ICCS050211,423,Theft of a motorized land vehicle
AT001MC,2014,8817.0,42600.0,2681273.0,,Wien,ICCS0101,12,Intentional homicide
AT001MC,2014,8817.0,42600.0,2681273.0,,Wien,ICCS0401,2537,Robbery
AT001MC,2014,8817.0,42600.0,2681273.0,,Wien,ICCS05012,10768,Burglary of private residential premises
AT001MC,2014,8817.0,42600.0,2681273.0,,Wien,ICCS050211,429,Theft of a motorized land vehicle
AT001MC,2015,8817.0,43200.0,2720557.0,,Wien,ICCS0101,11,Intentional homicide
AT001MC,2015,8817.0,43200.0,2720557.0,,Wien,ICCS0401,2449,Robbery
AT001MC,2015,8817.0,43200.0,2720557.0,,Wien,ICCS05012,8505,Burglary of private residential premises
AT001MC,2015,8817.0,43200.0,2720557.0,,Wien,ICCS050211,516,Theft of a motorized land vehicle
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS0101,21,Intentional homicide
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS0401,2061,Robbery
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS05012,7327,Burglary of private residential premises
AT001MC,2016,8817.0,44500.0,2775368.0,,Wien,ICCS050211,561,Theft of a motorized land vehicle
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS0101,18,Intentional homicide
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS0401,1685,Robbery
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS05012,6678,Burglary of private residential premises
AT001MC,2017,8817.0,44900.0,2811186.0,121.1,Wien,ICCS050211,474,Theft of a motorized land vehicle
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS0101,41,Intentional homicide
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS0401,1474,Robbery
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS05012,4761,Burglary of private residential premises
AT001MC,2018,8817.0,46600.0,2838558.0,114.6,Wien,ICCS050211,408,Theft of a motorized land vehicle
