geo_code,ICCS0101_NR,ICCS0101_P_HTHAB,ICCS0102_NR,ICCS0102_P_HTHAB,ICCS020111_NR,ICCS020111_P_HTHAB,ICCS020221_NR,ICCS020221_P_HTHAB,ICCS0301_NR,ICCS0301_P_HTHAB,ICCS03011_NR,ICCS03011_P_HTHAB,ICCS03012_NR,ICCS03012_P_HTHAB,ICCS0302_NR,ICCS0302_P_HTHAB,ICCS0401_NR,ICCS0401_P_HTHAB,ICCS0501_NR,ICCS0501_P_HTHAB,ICCS05012_NR,ICCS05012_P_HTHAB,ICCS0502_NR,ICCS0502_P_HTHAB,ICCS05021_NR,ICCS05021_P_HTHAB,ICCS0601_NR,ICCS0601_P_HTHAB,ICCS0701_NR,ICCS0701_P_HTHAB,ICCS0703_NR,ICCS0703_P_HTHAB,ICCS07031_NR,ICCS07031_P_HTHAB,ICCS07041_NR,ICCS07041_P_HTHAB,ICCS0903_NR,ICCS0903_P_HTHAB,ICCS09051_NR,ICCS09051_P_HTHAB,GINI_HND,I_IUSNET,F10_RT
AL,58.0,2.03,93.0,3.25,158.0,5.52,4.0,0.14,154.0,5.38,77.0,2.69,77.0,2.69,96.0,3.35,98.0,3.42,,,1157.0,40.42,4833.0,168.84,318.0,11.11,2011.0,70.26,874.0,30.53,1330.0,46.46,305.0,10.66,401.0,14.01,84.0,2.93,38.0,1.33,34.3,52.13,
AT,74.0,0.84,171.0,1.93,3835.0,43.29,6.0,0.07,4509.0,50.9,1676.0,18.92,2360.0,26.64,1859.0,20.98,2628.0,29.67,54324.0,613.22,8798.0,99.31,115423.0,1302.92,3917.0,44.22,43767.0,494.05,49627.0,560.2,3158.0,35.65,38.0,0.43,430.0,4.85,7292.0,82.31,119.0,1.34,27.5,55.55,5.6
BE,146.0,1.27,1018.0,8.89,64022.0,558.87,,,9348.0,81.6,4079.0,35.61,5269.0,46.0,3713.0,32.41,16092.0,140.47,64957.0,567.04,47069.0,410.88,224148.0,1956.68,12599.0,109.98,63349.0,553.0,79340.0,692.59,4775.0,41.68,95.0,0.83,2272.0,19.83,6401.0,55.88,304.0,2.65,25.1,75.53,3.26
BG,80.0,1.14,38.0,0.54,2768.0,39.54,72.0,1.03,605.0,8.64,131.0,1.87,474.0,6.77,,,1183.0,16.9,6226.0,88.94,5587.0,79.81,33172.0,473.88,310.0,4.43,5470.0,78.14,2103.0,30.04,585.0,8.36,130.0,1.86,31.0,0.44,66.0,0.94,106.0,1.51,40.8,52.85,0.44
CH,46.0,0.54,161.0,1.88,637.0,7.46,5.0,0.06,2734.0,32.0,679.0,7.95,626.0,7.33,1485.0,17.38,1872.0,21.91,36419.0,426.23,21351.0,249.88,132646.0,1552.41,8886.0,104.0,75757.0,886.61,19159.0,224.23,14.0,0.16,13.0,0.15,1772.0,20.74,,,57.0,0.67,30.6,53.26,2.3
CY,13.0,1.48,15.0,1.71,176.0,20.09,8.0,0.91,17.0,1.94,16.0,1.83,1.0,0.11,106.0,12.1,55.0,6.28,1190.0,135.86,,,642.0,73.3,,,1032.0,117.82,221.0,25.23,16.0,1.83,14.0,1.6,,,72.0,8.22,0.0,0.0,31.1,71.72,0.38
CZ,81.0,0.76,62.0,0.58,4684.0,43.98,12.0,0.11,1560.0,14.65,683.0,6.41,865.0,8.12,765.0,7.18,1439.0,13.51,22161.0,208.09,6525.0,61.27,59850.0,561.98,6669.0,62.62,4819.0,45.25,9179.0,86.19,2339.0,21.96,122.0,1.15,626.0,5.88,1092.0,10.25,24.0,0.23,24.0,58.95,1.57
DE,586.0,0.71,1807.0,2.18,133084.0,160.31,4514.0,5.44,40724.0,49.05,9576.0,11.53,31148.0,37.52,16019.0,19.3,36052.0,43.43,311231.0,374.89,87145.0,104.97,1025321.0,1235.04,48557.0,58.49,359747.0,433.33,832966.0,1003.34,4147.0,5.0,4147.0,5.0,9764.0,11.76,13026.0,15.69,579.0,0.7,29.7,52.5,5.29
DK,53.0,0.91,149.0,2.57,1968.0,33.9,,,4895.0,84.31,2051.0,35.33,2844.0,48.98,1601.0,27.57,1698.0,29.25,48257.0,831.15,34946.0,601.89,170043.0,2928.71,247.0,4.25,32954.0,567.58,47627.0,820.3,5060.0,87.15,46.0,0.79,258.0,4.44,,,,,27.5,80.76,7.29
EE,23.0,1.74,11.0,0.83,78.0,5.89,0.0,0.0,355.0,26.8,203.0,15.32,152.0,11.47,,,152.0,11.47,,,600.0,45.29,6804.0,513.58,163.0,12.3,3998.0,301.78,1813.0,136.85,72.0,5.43,37.0,2.79,190.0,14.34,197.0,14.87,5.0,0.38,30.5,65.14,3.58
