,metroreg,TIME_PERIOD,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemp per Tsd.,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crime/population,density,crime/population_log,density_log,unemp_log,gdp_log
836,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0101,12,Wien,M,Intentional homicide,AT,4.475486084408414,304.1026426222071,1.4986149680420238,5.717365284623224,3.2068032436339315,4.969813299576001
837,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0401,2537,Wien,M,Robbery,AT,946.1923496786787,304.1026426222071,6.852445877853305,5.717365284623224,3.2068032436339315,4.969813299576001
838,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS05012,10768,Wien,M,Burglary of private residential premises,AT,4016.0028464091497,304.1026426222071,8.298042370138532,5.717365284623224,3.2068032436339315,4.969813299576001
839,AT001MC,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,8817.0,2681273.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS050211,429,Wien,M,Theft of a motorized land vehicle,AT,159.99862751760077,304.1026426222071,5.07516523718204,5.717365284623224,3.2068032436339315,4.969813299576001
892,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0101,11,Wien,M,Intentional homicide,AT,4.043289664579716,308.55812634682997,1.3970586340431415,5.731910241632476,3.2068032436339315,4.948759890378168
893,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS0401,2449,Wien,M,Robbery,AT,900.1833080505206,308.55812634682997,6.802598418196939,5.731910241632476,3.2068032436339315,4.948759890378168
894,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS05012,8505,Wien,M,Burglary of private residential premises,AT,3126.1980542954993,308.55812634682997,8.047572866074733,5.731910241632476,3.2068032436339315,4.948759890378168
895,AT001MC,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2720557.0,T:Total,Y15-24:From 15 to 24 years,24.7,ICCS050211,516,Wien,M,Theft of a motorized land vehicle,AT,189.66704244755763,308.55812634682997,5.245270126726334,5.731910241632476,3.2068032436339315,4.948759890378168
948,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS0101,21,Wien,M,Intentional homicide,AT,7.5665641457277015,314.7746399001928,2.023739086704688,5.751856953895983,3.3357695763397,4.948759890378168
949,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS0401,2061,Wien,M,Robbery,AT,742.6042240164187,314.7746399001928,6.6101632298717234,5.751856953895983,3.3357695763397,4.948759890378168
