no fit for ICCS0102:	'Attempted intentional homicide'
no fit for ICCS020111:	'Serious assault'
no fit for ICCS020221:	'Kidnapping'
no fit for ICCS0301:	'Sexual violence'
no fit for ICCS03011:	'Rape'
no fit for ICCS03012:	'Sexual assault'
no fit for ICCS0302:	'Sexual exploitation'
no fit for ICCS0501:	'Burglary'
no fit for ICCS05012:	'Burglary of private residential premises'
no fit for ICCS05021:	'Theft of a motorized vehicle or parts thereof'
no fit for ICCS0601:	'Unlawful acts involving controlled drugs or precursors'
no fit for ICCS0701:	'Fraud'
no fit for ICCS0703:	'Corruption'
no fit for ICCS07031:	'Bribery'
no fit for ICCS07041:	'Money laundering'
no fit for ICCS0903:	'Acts against computer systems'
no fit for ICCS09051:	'Participation in an organized criminal group'
