kshkod,town_name,district_name,county,Fragmentation,Fragmentation_scaled,SPB,SPB_norm,ADC,ADC_norm,SCA,SCA_norm
201,Rackeresztur,Martonvásári,Fejer,0.23212589,-1.0818148,0.0,-1.7665223,815.65167,-0.5484091,0.22161022,-2.8794866
206,Gonyu,Győri,Gyor-Moson-Sopron,0.2586613,-0.62150872,0.51165849,0.29712483,679.87671,-0.7377454,0.15319303,-1.7412006
216,Komadi,Berettyóújfalui,Hajdu-Bihar,0.2293932,-1.1292185,0.2565085,-0.77823502,1120.787,-0.16535312,0.0037894335,0.8133865
219,Nemesvamos,Veszprémi,Veszprem,0.2333599,-1.0604086,0.0,-1.7665223,551.58038,-0.89326572,0.03481089,0.25682616
221,Balatonfuzfo,Balatonalmádi,Veszprem,0.2934877,-0.017379964,0.63060129,0.73780096,1024.838,-0.25551033,0.046649389,0.09071102
230,Kaba,Püspökladányi,Hajdu-Bihar,0.3514924,0.98881972,0.027700899,-1.6579279,1060.807,-0.22331113,0.10625798,-0.88874179
231,Etyek,Bicskei,Fejer,0.27987021,-0.25360063,0.0480684,-1.5712266,524.45941,-0.95975125,0.14507905,-1.6208184
232,Baktaloranthaza,Baktalórántházai,Szabolcs-Szatmar-Bereg,0.27344859,-0.36499569,0.44265139,-0.0038684104,721.2085,-0.69061869,0.18633197,-2.2667766
235,Ujkigyos,Békéscsabai,Bekes,0.25529659,-0.67987591,0.42741901,-0.14780135,1081.484,-0.24612983,0.24969544,-3.1292186
243,Buk,Kőszegi,Vas,0.201281,-1.616877,0.54336178,0.42653692,926.89392,-0.37496933,0.015943287,0.60272163
262,Martfu,Szolnoki,Jasz-Nagykun-Szolnok,0.30702969,0.21753119,0.4769609,0.17690414,1217.2321,0.067627266,0.0072168838,0.75068974
268,Bekesszentandras,Szarvasi,Bekes,0.2291158,-1.1340305,0.67174208,0.72092903,662.21301,-0.84304553,0.0438083,0.18826944
284,Felsozsolca,Miskolci,Borsod-Abauj-Zemplen,0.26961201,-0.43154818,0.76847291,1.0981269,1003.311,-0.37532231,0.095788576,-0.6368466
291,Balmazujvaros,Balmazújvárosi,Hajdu-Bihar,0.42195359,2.2111003,0.48997021,0.070466645,1067.808,-0.27968153,0.047935717,0.11417092
300,Szombathely,Szombathelyi,Vas,0.3294335,0.60616696,0.78564829,0.98399931,2598.0339,1.5696473,0.0031501916,0.82850993
304,Hajduboszormeny,Hajdúböszörményi,Hajdu-Bihar,0.33640561,0.7271111,0.75172621,0.92848724,3695.4031,3.0778022,0.066735134,-0.13792261
311,Dunaujvaros,Dunaújvárosi,Fejer,0.34006649,0.79061598,0.69737148,0.75468892,1389.9709,0.091390267,0.00085510552,0.86212087
325,Foldes,Püspökladányi,Hajdu-Bihar,0.25483039,-0.68796295,0.0582514,-1.533771,678.11493,-0.74958974,0.01138252,0.68262088
327,Fuzesabony,Füzesabonyi,Heves,0.31028461,0.27399385,0.63549888,0.67513251,947.09808,-0.41207743,0.024225336,0.48107126
345,Boldog,Hatvani,Heves,0.2504766,-0.76348758,0.65837568,0.74138552,619.54938,-0.87651378,0.19494765,-2.2694054
346,Ketegyhaza,Gyulai,Bekes,0.19899251,-1.6565751,0.21615981,-0.91883558,945.73291,-0.3866885,0.047096271,0.09311799
350,Sajobabony,Miskolci,Borsod-Abauj-Zemplen,0.2372289,-0.99329358,0.27497509,-0.58333671,493.5434,-0.9623487,0.066056997,-0.32841074
352,Baja,Bajai,Baranya,0.35045591,0.9708398,0.81233871,1.2268128,1704.465,0.54735053,0.010593065,0.70991999
359,Abaujszanto,Gönci,Borsod-Abauj-Zemplen,0.2409502,-0.9287408,0.63353652,0.78026319,666.90747,-0.75996339,0.034733776,0.28394353
369,Mende,Nagykátai,Pest,0.28554639,-0.1551367,0.65457398,0.66301066,1046.296,-0.32324418,0.087352827,-0.49773273
381,Heviz,Keszthelyi,Zala,0.343126,0.84368885,0.0,-1.7665223,900.32251,-0.42213133,0.00078571524,0.86186671
393,Cigand,Cigándi,Borsod-Abauj-Zemplen,0.1624223,-2.2909534,0.081564598,-1.4470307,729.73657,-0.69551146,0.019719884,0.5481168
396,Ruzsa,Mórahalmi,Csongrad,0.26870871,-0.44721773,0.0,-1.7665223,488.008,-0.98880255,0.044384472,0.085364506
403,Csorna,Csornai,Gyor-Moson-Sopron,0.36646289,1.2485106,0.79766542,1.2748517,2676.248,1.9722239,0.013116692,0.66343176
405,Pecel,Gödöllői,Pest,0.3453052,0.88149124,0.46495739,0.011503894,924.00281,-0.45035827,0.012122114,0.67891419
407,Ocsa,Gyáli,Pest,0.36902961,1.2930353,0.64466143,0.68022448,1009.28,-0.34243354,0.06457413,-0.16262208
410,Dusnok,Kalocsai,Baranya,0.2380707,-0.9786911,0.0129465,-1.7129526,571.18372,-0.87527061,0.055011604,-0.088691764
