DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2011,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2012,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2013,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2014,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2015,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2016,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2017,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2018,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2019,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AL:Albania,2020,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2011,1.98,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2012,1.68,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2013,1.88,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2014,2.12,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2015,2.11,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2016,1.87,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2017,2.21,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2018,2.58,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2019,2.21,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,AT:Austria,2020,2.19,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2011,1.51,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2012,2.1,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2013,2,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2014,1.73,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2015,2.06,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2016,1.68,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2017,1.87,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2018,1.48,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2019,1.51,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BE:Belgium,2020,1.82,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2011,0.03,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2012,0.05,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2013,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2014,0.03,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2015,0.14,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2016,0.03,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2017,0.07,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2018,0.09,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2019,0.08,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,BG:Bulgaria,2020,0.15,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2011,1.21,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2012,1.2,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2013,1.61,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2014,1.69,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2015,1.37,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2016,1.22,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2017,1.09,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2018,1.43,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2019,0.98,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CH:Switzerland,2020,1.26,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2011,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2012,0.32,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2013,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2014,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2015,0.44,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2016,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2017,0,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2018,0.51,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2019,0.24,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CY:Cyprus,2020,0.26,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2011,0.39,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2012,0.38,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2013,0.46,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2014,0.52,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2015,0.48,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2016,0.4,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2017,0.41,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2018,0.43,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2019,0.58,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,CZ:Czechia,2020,0.67,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2011,2.52,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2012,2.37,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2013,2.76,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2014,2.57,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2015,2.72,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2016,2.44,
