DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2004,73.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2005,72.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2006,73.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2007,73.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2008,71.9,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2009,73.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2010,72.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2011,71.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2012,74.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2013,71.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2014,68.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2015,69.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2016,67.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2017,67.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2018,67.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2019,68.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2020,70.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,AT:Austria,2021,73.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2004,71.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2005,76.1,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2006,76.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2007,77.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2008,77.6,
