DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2015,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2016,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2017,58.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2018,53.9,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2019,50.7,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2020,46.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2021,46.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AL:Albania,2022,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2015,16.9,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2016,17.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2017,17.1,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2018,16.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2019,16.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2020,16.7,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2021,17.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,AT:Austria,2022,17.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2015,21.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2016,22.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2017,22.0,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2018,20.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2019,20.0,b
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2020,20.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2021,18.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BE:Belgium,2022,18.7,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2015,43.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2016,41.0,b
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2017,38.0,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2018,33.0,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2019,33.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2020,33.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2021,31.7,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,BG:Bulgaria,2022,32.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2014,16.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2015,18.2,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2016,17.9,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2017,18.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2018,17.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2019,19.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2020,18.5,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2021,17.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CH:Switzerland,2022,18.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2015,22.8,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2016,22.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2017,21.4,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2018,19.1,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2019,18.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2020,17.6,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2021,17.3,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CY:Cyprus,2022,16.7,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CZ:Czechia,2014,,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CZ:Czechia,2015,13.0,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CZ:Czechia,2016,12.4,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CZ:Czechia,2017,12.1,
ESTAT:SDG_01_10(1.0),03/01/24 23:00:00,A:Annual,T:Total,TOTAL:Total,PC:Percentage,CZ:Czechia,2018,11.8,
