DATAFLOW,LAST UPDATE,freq,unit,landuse,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AL:Albania,2021,28106,e
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AL:Albania,2022,28106,e
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AL_NM:Non-metropolitan regions in Albania,2021,28106,e
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AL_NM:Non-metropolitan regions in Albania,2022,28106,e
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2013,82515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2014,82515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2015,82515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2016,82515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2017,82515,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2018,82519,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2019,82519,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2020,82519,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2021,82519,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT:Austria,2022,82519,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1991,8486.7,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1992,8484.2,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1993,8483.2,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1994,8481.4,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1995,8480.7,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1996,8479.6,
ESTAT:MET_D3AREA(1.0),10/03/23 23:00:00,A:Annual,KM2:Square kilometre,L0008:Land area - Total,AT001MC:Wien,1997,8478.7,
