DATAFLOW,LAST UPDATE,freq,unit,iccs,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2008,88,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2009,82,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2010,118,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2011,124,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2012,126,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2013,107,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2014,98,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2015,54,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2016,71,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2017,52,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2018,51,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2019,58,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL:Albania,2020,52,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2008,88,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2009,82,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2010,118,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2011,124,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2012,126,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2013,107,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2014,98,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2015,54,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2016,71,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2017,52,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2018,51,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2019,58,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AL_NM:Non-metropolitan regions in Albania,2020,52,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2008,58,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2009,51,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2010,59,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2011,82,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2012,88,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2013,62,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2014,40,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2015,42,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2016,49,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2017,61,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2018,73,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2019,74,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT:Austria,2020,54,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2008,24,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2009,23,
