DATAFLOW,LAST UPDATE,freq,unit,ipc,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT002M:Graz,2008,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT003M:Linz,1988,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT003M:Linz,1993,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT004M:Salzburg,2001,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT004M:Salzburg,2008,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT004M:Salzburg,2011,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT005M:Innsbruck,2000,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,AT005M:Innsbruck,2003,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BE002M:Antwerpen,2000,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BE002M:Antwerpen,2002,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BE002M:Antwerpen,2007,0.58,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BE002M:Antwerpen,2010,0.33,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BE002M:Antwerpen,2011,0.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,BG002M:Plovdiv,2012,0.25,p
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1981,3,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1986,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1987,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1993,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1994,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1995,1.64,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1996,1.75,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1997,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1998,4.83,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,1999,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2000,3,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2001,1.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2002,1.75,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2003,3.25,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2004,2.67,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2005,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2006,2.17,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2007,2.6,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2008,0.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2009,1.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2010,0.25,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2011,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH001M:Zürich,2012,0.26,p
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,1990,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,2000,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,2004,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,2005,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,2008,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH002M:Genève,2009,0.25,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1988,1.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1990,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1992,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1996,0.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1998,0.83,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,1999,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,2000,3,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,2001,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH004MC:Bern,2003,2,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,1985,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,1986,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,1988,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,1990,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,1999,1,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,2001,0.5,
ESTAT:MET_PAT_EPTEC(1.0),19/07/18 23:00:00,A:Annual,NR:Number,AVI:Aviation,CH005M:Lausanne,2002,0.5,
