DATAFLOW,LAST UPDATE,freq,unit,indic_is,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2011,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2013,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2014,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2015,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2016,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2017,,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2018,48.33,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2019,52.13,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2020,54.80,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2021,60.77,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2022,64.07,
ESTAT:TIN00127(1.0),03/01/24 23:00:00,A:Annual,PC_IND:Percentage of individuals,"I_IUSNET:Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL:All Individuals,AL:Albania,2023,,
