DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2003,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2004,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2005,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2006,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2007,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2008,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2009,11.3,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2010,10.1,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2011,9.5,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2012,10.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2013,10.3,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2014,11.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2015,11.3,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2016,12.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2017,10.5,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2018,10.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2019,9.1,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2020,11.7,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2021,11.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,AT:Austria,2022,9.5,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2003,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2004,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2005,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2006,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2007,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2008,,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2009,22.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2010,22.4,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2011,18.9,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2012,20.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2013,23.9,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2014,23.4,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2015,22.5,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2016,20.3,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2017,19.4,b
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2018,16.0,
ESTAT:TIPSUN20(1.0),14/12/23 23:00:00,A:Annual,T:Total,Y15-24:From 15 to 24 years,PC_ACT:Percentage of population in the labour force,BE:Belgium,2019,14.5,
